filename,label,length,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20
cel\014__[cel][nod][cla]0041__2.wav,cel,3.0,0.029191513,1216.5685455790433,1683.7391227429268,2373.2074444110576,0.04779522235576923,-296.03714,149.59988,-10.050241,29.27503,10.328418,6.3702846,-4.5975895,5.743976,2.7045007,1.5342677,-3.0722477,0.50441235,-1.8818966,1.3429735,-1.9490756,3.44899,-6.0689435,-5.255287,-8.22729,-2.4381888
cel\014__[cel][nod][cla]0041__3.wav,cel,3.0,0.03021737,1644.8674481150886,1968.7908690452725,3253.584172175481,0.07351637620192308,-286.1123,111.3704,-16.798708,34.643585,12.450843,5.375917,-4.9483314,3.590188,3.7040377,3.6372037,-5.483063,-2.8558352,1.1899886,6.467315,-4.558073,4.310729,-5.2967916,-2.2575574,-1.9198308,8.406456
cel\027__[cel][nod][cla]0027__1.wav,cel,3.0,0.056493357,1694.5040342774037,1444.996426269195,3100.6156099759614,0.12861703725961537,-233.75928,138.96988,-53.819653,67.39507,-7.0874505,-6.690072,-18.295973,-6.9933596,-5.515205,-5.799131,-4.9377127,-3.4089093,-4.926648,-11.242492,-4.462237,0.26144692,6.4158845,2.4113243,-2.7606134,-7.0001907
cel\027__[cel][nod][cla]0027__2.wav,cel,3.0,0.051116392,1649.2998352222442,1461.3667863431888,2969.5943509615386,0.12816631610576923,-256.7759,133.69775,-47.350517,76.7428,-2.9936244,0.5159764,-23.568817,-8.917126,-9.761238,-4.789398,-3.2177215,0.43381023,-4.2709627,-6.7750883,-9.010669,0.6211655,13.235047,15.008722,2.1580594,-11.659397
cel\027__[cel][nod][cla]0027__3.wav,cel,3.0,0.051038414,1513.0710977412227,1486.7690262209771,2840.643592247596,0.09759615384615385,-265.4896,131.96342,-44.577072,76.94922,5.8816633,2.1856933,-17.39647,-1.8229693,-1.1510468,-3.3825054,-3.8447502,1.7220755,-2.0437791,-4.2060213,-1.9907258,-8.931625,-12.988835,-11.020295,-3.922749,1.4584973
cel\031__[cel][nod][cla]0020__1.wav,cel,3.0,0.01060087,1615.4043684885874,1829.9939438071058,3097.219989483173,0.048208383413461536,-446.34442,108.33139,-29.426872,14.767774,-2.1724176,3.5408127,-3.0582616,-0.98664445,-4.6486177,-3.0324533,-9.610807,-9.39415,-13.034298,-7.7153487,-9.336559,-6.868502,-7.1405077,-5.5648184,-10.431087,-5.510309
cel\031__[cel][nod][cla]0020__2.wav,cel,3.0,0.0145105235,1690.9888412956202,1896.9545665182186,3162.813439002404,0.07494741586538461,-366.14618,104.8143,-32.85504,17.025072,-0.42661133,2.7020934,-7.3900795,-4.873702,-10.041278,-6.364242,-16.48768,-9.878792,-10.820115,-1.4491566,-8.9002905,5.12166,4.65005,10.424463,3.0050676,1.7886523
cel\031__[cel][nod][cla]0020__3.wav,cel,3.0,0.019609123,1495.0135010303488,1776.3310525635861,2855.716834435096,0.05131460336538462,-367.33084,116.25909,-30.364431,20.466068,-0.30256468,1.1955175,-10.531718,-11.000976,-11.677304,-5.3138003,-20.458496,-12.54258,-13.000894,-6.0119486,-13.426774,-6.6290536,-9.398049,-3.8646944,-2.3150773,7.1723237
cel\032__[cel][nod][cla]0033__1.wav,cel,3.0,0.03604132,1455.8114504042107,1784.8199953828364,2673.015887920673,0.060467998798076926,-274.153,130.38194,-24.647694,16.49943,3.2983723,-6.291122,-5.1423416,-3.1507504,-3.4410746,1.2728105,-13.310599,-10.105808,-18.155457,-3.2186735,-4.912097,11.076564,6.0910187,11.667911,4.4809504,3.627544
cel\032__[cel][nod][cla]0033__2.wav,cel,3.0,0.05589343,1352.9192815389995,1693.9269594324342,2460.251277043269,0.05850360576923077,-233.08928,140.11154,-23.34376,17.718248,2.3697166,-8.729357,-8.455382,-3.01359,-5.8187084,-7.5449724,-18.876019,-9.584662,-16.53878,-6.262716,-5.973441,8.542745,0.071978055,3.8592892,-4.1256385,-7.2652082
cel\032__[cel][nod][cla]0033__3.wav,cel,3.0,0.07003985,1529.4783194156032,1801.9449607506904,2887.188439002404,0.05669320913461538,-224.3763,120.19264,-29.450563,20.670143,-2.3498049,-9.168961,-11.979221,-8.298072,-12.384679,-10.069235,-19.412819,-8.558622,-9.28722,2.1674352,-0.34875816,4.3182735,-1.3844508,2.1929703,-2.1741042,0.67127556
cel\033__[cel][nod][cla]0031__1.wav,cel,3.0,0.04987779,1808.941799788335,2004.2034220067055,3430.322077824519,0.08788686899038461,-238.75017,104.10183,-17.23152,22.299358,1.5480664,-8.804027,-11.249044,-6.980821,-5.51744,-2.3803496,-16.895178,-5.2514935,-10.579926,8.15152,10.78759,17.723522,3.151046,-0.030352313,-5.0679193,-2.0774796
cel\033__[cel][nod][cla]0031__2.wav,cel,3.0,0.051942658,1340.6422101037551,1679.569445661454,2564.6044921875,0.060787259615384615,-225.2763,141.47586,-25.077454,27.852472,3.936408,-1.6929394,0.5265855,1.9652544,0.24449745,3.6269794,-8.7243805,-2.3096333,-15.068482,-5.69724,-4.4914308,-2.9266489,-12.162288,-7.675454,-11.946975,-5.9456596
cel\033__[cel][nod][cla]0031__3.wav,cel,3.0,0.054602616,1431.4568552561423,1744.2996467495136,2632.516902043269,0.06717247596153846,-237.63635,135.38647,-21.398258,19.300589,3.7359693,-8.083306,-7.2360945,-3.3456647,-3.429342,-2.2411804,-11.816205,-1.8975358,-10.624514,0.8250534,-1.8912448,7.980233,-0.12618807,0.061786123,-4.2989864,-0.62200296
cel\038__[cel][nod][cla]0039__1.wav,cel,3.0,0.01921047,1847.5361606126087,1946.4527492464706,3478.771784855769,0.08390549879807692,-387.61185,85.952255,-21.222828,23.779778,2.829047,-3.6813042,-13.471856,-5.661207,-7.5896416,-5.4862933,-4.3465424,4.2530723,-9.874664,-3.177573,-4.069782,-4.3496823,-1.7253113,6.096932,-1.8695009,-5.2088647
cel\038__[cel][nod][cla]0039__2.wav,cel,3.0,0.01738837,1978.196536947842,1970.3997515118067,3626.853966346154,0.10381234975961538,-368.08612,81.66474,-24.482508,29.79621,0.29706714,-11.545983,-17.064396,-4.017664,1.4831362,8.2526245,-0.1255066,-4.83566,-31.724808,-15.853296,2.2086623,11.315457,8.045457,22.360907,13.834518,-9.012752
cel\038__[cel][nod][cla]0039__3.wav,cel,3.0,0.03597195,912.8694414619167,1292.2155931457464,1798.2709209735576,0.03678260216346154,-315.56204,178.94287,-22.384493,28.431355,18.955463,-5.8453555,-12.326649,-0.6581111,0.30878174,0.8834352,-2.782877,-4.8396025,-16.607077,-13.213674,-15.419876,-15.466453,-7.409744,-3.3989499,-5.6387835,-4.3536406
cel\041__[cel][nod][cla]0023__1.wav,cel,3.0,0.02458057,1439.782828954619,1656.4338227455778,2889.093299278846,0.074462890625,-324.1074,126.22224,-29.388914,60.691933,7.58077,17.337368,-9.919701,7.42468,-2.5151842,12.426422,2.6787076,-5.274323,-10.755929,-5.97506,-5.6023636,1.4067012,1.923934,-4.56991,-6.320106,0.1292315
cel\041__[cel][nod][cla]0023__2.wav,cel,3.0,0.049551487,1316.0657377473644,1504.387362002126,2719.1466346153848,0.05706505408653846,-291.50293,135.60603,-27.94134,64.24138,0.7069559,6.83741,-11.155178,-3.1630902,-10.127357,-1.5004541,-4.971325,-8.244908,-5.661189,-8.935953,0.47165552,11.2121315,12.959394,3.7051504,-0.21881533,-3.1626139
cel\041__[cel][nod][cla]0023__3.wav,cel,3.0,0.054909393,1288.9788703321449,1507.9073921549004,2716.9933143028848,0.04928260216346154,-272.2119,137.69069,-34.657288,56.678337,0.39572707,6.2568393,-2.415246,1.426071,-6.6975694,1.032635,-0.25222915,-7.4087477,-3.153941,-6.2648363,0.25653675,4.52277,10.723626,3.3443167,-2.283862,-6.0591197
cel\042__[cel][nod][cla]0042__1.wav,cel,3.0,0.019009244,1519.3680057902882,1832.017835259481,2767.099421574519,0.07981520432692307,-323.13373,119.71864,-19.008383,25.16266,9.871171,2.3693912,-9.093282,2.1310294,1.6332811,2.2565844,-6.3333926,-2.4369895,-6.17935,-0.30392796,-5.1039276,3.7052479,-5.7744336,0.19061655,3.6222422,10.543132
cel\042__[cel][nod][cla]0042__2.wav,cel,3.0,0.015749363,1636.0811382916772,1927.7660194601333,3133.495154747596,0.08540414663461539,-339.35757,110.447556,-17.644655,29.840925,6.2556105,1.5067253,-6.9028497,-1.6428632,-4.317362,0.3412905,-6.598396,-8.79939,-1.0750488,4.53974,-7.5475307,2.1827803,0.04151893,2.7169874,-1.6602027,9.580974
cel\042__[cel][nod][cla]0042__3.wav,cel,3.0,0.014607347,1532.9884697204773,1812.005244934615,2890.5840594951924,0.08906625600961539,-369.10696,115.69455,-21.341883,32.86875,11.184041,4.091245,-7.4062867,1.0289687,-3.411177,1.7608027,-10.528749,-12.384818,3.8807862,7.229356,-1.208848,4.873871,0.6711788,0.10348176,-7.092907,12.238032
cel\043__[cel][nod][cla]0029__1.wav,cel,3.0,0.024716476,1553.0696662269747,1472.3060768475907,2882.7989783653848,0.09189077524038461,-313.3701,139.25555,-56.713596,63.381332,5.4092956,0.86910677,-13.989415,-0.46008635,-4.5571914,-2.548321,-5.9524374,-8.127428,-7.4017763,-12.215617,-10.000354,-0.73046476,-0.19626957,-2.1048038,-1.8210856,2.8666856
cel\043__[cel][nod][cla]0029__2.wav,cel,3.0,0.030496905,1871.7802898628297,1422.0383756210226,3201.656024639423,0.13627554086538463,-316.00217,117.6825,-61.912235,69.134705,-0.92506593,5.017241,-7.3589263,-2.4654198,-8.295353,-7.233383,-11.043235,-11.529053,-2.6251423,-1.3448459,14.266179,23.579546,13.313433,-4.3852434,-12.742214,-9.542859
cel\043__[cel][nod][cla]0029__3.wav,cel,3.0,0.037809014,1175.185265998212,1462.4281413337785,2491.1431415264424,0.04302509014423077,-338.6345,142.32587,-31.536839,54.20999,19.433613,-0.013654503,-8.523881,4.9072742,-2.523838,-12.146505,-0.79211897,-4.2905245,-5.983717,-12.851157,-8.289901,-5.4413586,-5.114239,-2.3833957,1.5389233,0.5751671
cel\046__[cel][nod][cla]0034__1.wav,cel,3.0,0.02938802,1475.3772145850157,1892.8849683287385,2643.283503605769,0.060941256009615384,-316.88382,124.44866,-21.941568,6.5276823,4.7417064,-10.035765,-5.7310896,0.5903926,-1.7664211,-1.4791998,-10.001968,-4.695557,-15.35264,-2.0127828,-2.267857,1.7400298,-7.3818083,-1.37138,-5.1431055,-6.2544684
cel\046__[cel][nod][cla]0034__2.wav,cel,3.0,0.052840214,1727.8661628311963,2025.478137112005,3172.254920372596,0.059476412259615384,-278.97345,84.43939,-29.710175,12.373326,0.52183837,-7.8368564,-8.34101,-5.8137026,-7.7784967,-9.416779,-19.839664,-1.7851181,-10.073387,3.74636,-3.0996292,4.36024,-7.8357096,0.56781673,-4.449711,-9.6205225
cel\046__[cel][nod][cla]0034__3.wav,cel,3.0,0.05986401,2205.4220557919007,2180.5375947897905,4018.012883112981,0.09880558894230769,-296.64386,55.254894,-34.829456,-3.8157694,-13.495818,-23.195202,-5.5271325,14.4573145,27.182352,26.662268,-10.311598,-18.300507,-20.812946,21.412466,18.39603,9.254452,-5.3566546,10.0364685,-1.6181713,-16.51456
cel\048__[cel][nod][cla]0022__1.wav,cel,3.0,0.042021718,1088.8813477486735,1650.1662223384926,2030.4982346754807,0.036545973557692304,-297.78848,152.86775,-4.751937,27.847364,0.6243875,4.1273866,-18.644865,12.7108345,-8.354093,-6.3013663,-15.742767,-26.391668,4.9042215,-8.507016,-5.8157597,-6.393224,-16.50312,-3.255867,-12.46465,2.3535564
cel\048__[cel][nod][cla]0022__2.wav,cel,3.0,0.042247795,1034.2118628591534,1546.7148646201563,1842.0827073317307,0.036771334134615384,-308.45276,161.89186,-7.6880245,24.057625,-2.170774,5.1847816,-21.770166,14.76192,-13.31536,-12.476287,-19.08154,-31.865726,1.5262499,-13.946516,-7.892871,-6.662811,-17.564735,-0.68889374,-10.38418,3.6204774
cel\048__[cel][nod][cla]0022__3.wav,cel,3.0,0.030640785,1252.0719386209269,1775.7315783305487,2450.809795673077,0.046627103365384615,-310.46118,146.34619,-5.7360387,26.460787,-3.8798048,4.746405,-25.115715,8.919052,-15.899831,-11.223848,-16.041006,-23.66228,2.0442288,-10.131608,-6.3741765,-5.0421076,-18.260925,-2.4132254,-12.980653,0.7804827
cel\056__[cel][nod][cla]0038__1.wav,cel,3.0,0.004653446,1370.0927795234047,1751.266715138492,2633.5107421875,0.06984299879807693,-496.81744,132.66353,-10.85227,29.572168,2.781217,-2.8023243,-9.78075,-3.218315,-5.0555096,5.6701174,-2.5597317,0.6414938,-5.477727,-7.9320803,-10.260818,-7.9124436,-8.597957,1.2047501,-8.244071,-14.043792
cel\056__[cel][nod][cla]0038__2.wav,cel,3.0,0.011321467,1638.6691707557886,1712.9149599294396,3031.7093599759614,0.09596980168269231,-411.51642,119.29326,-24.047848,28.749481,-3.3539302,-18.417507,-22.434584,-12.423423,-8.330437,6.441965,4.4252114,6.633293,-7.37533,-4.361253,-7.355364,-4.1774163,-6.1993537,-1.2418203,3.7302508,7.3082566
cel\056__[cel][nod][cla]0038__3.wav,cel,3.0,0.019199833,1480.0763448743446,1613.8100193412652,2687.0952899639424,0.08060772235576923,-317.87408,139.87378,-39.522625,17.59668,-8.627579,-7.673102,-18.477888,-9.140811,-13.472674,-5.2048116,-8.788401,-4.453096,-11.290447,-6.314924,-8.736966,-5.4601126,-8.424556,0.39405823,0.78776056,1.387518
cel\057__[cel][nod][cla]0036__1.wav,cel,3.0,0.025993207,899.7333520685228,1229.81583527341,1813.0128831129807,0.035719651442307696,-369.10114,176.38399,-30.293818,29.399021,21.406025,-4.84561,-15.769958,-0.39976162,1.54008,1.4564167,-3.4090476,-3.5907185,-16.97087,-15.396575,-17.060087,-12.487164,-10.450548,-1.7135226,-2.7646213,-6.235123
cel\057__[cel][nod][cla]0036__2.wav,cel,3.0,0.016909031,1778.2336414865713,1847.4674604802872,3229.566368689904,0.097900390625,-393.6247,92.035866,-19.229795,30.621536,10.021974,0.10405778,-13.418211,1.7673012,-3.2567406,-2.8976903,-7.516367,0.40738374,-15.338586,-10.237987,-0.70582885,8.256007,2.7504315,7.580827,1.8900061,4.2559433
cel\057__[cel][nod][cla]0036__3.wav,cel,3.0,0.004364902,2950.4734417250897,2418.459487765096,5546.539024939904,0.19608248197115385,-492.56128,53.278126,-8.561741,19.159494,3.139465,-6.2597113,-1.7825301,19.865042,15.313452,-3.700034,-27.209173,-1.5287814,22.65455,15.83525,-12.594952,-10.258045,-0.05673112,-10.662735,-8.571586,40.690956
cel\060__[cel][nod][cla]0045__1.wav,cel,3.0,0.011137577,1470.3543424615739,1875.3255682041708,2827.392390324519,0.06796123798076924,-401.87613,121.91059,-11.842347,23.808594,-3.7888818,-7.3876863,-16.046612,-5.159518,-6.462919,1.1877131,-0.32871774,8.331148,7.5265894,7.8484497,-2.2045789,2.6569772,5.216873,11.722981,11.16681,4.6949134
cel\060__[cel][nod][cla]0045__2.wav,cel,3.0,0.023073927,2104.160997235896,2139.564815717817,4038.0553260216348,0.13197866586538462,-320.90164,87.61431,-13.401714,16.359707,-5.8187675,-15.6799,-25.87249,-2.4927533,-6.3318377,3.0488153,-13.188716,1.7981328,1.5021626,6.5727496,-5.754093,11.620424,18.07611,17.322002,-1.7223877,-9.345178
cel\060__[cel][nod][cla]0045__3.wav,cel,3.0,0.020481504,1637.7474319865341,1784.7350272591627,2885.532038762019,0.10383112980769231,-330.7237,115.623344,-27.091423,19.350826,1.6256899,-12.24857,-22.533703,-11.644004,-13.096331,-8.853737,-14.783186,-0.751798,5.5813184,13.212496,2.090269,10.272138,4.0154786,5.1705127,4.1990323,3.440764
cel\061__[cel][nod][cla]0032__1.wav,cel,3.0,0.027622487,1818.270740730104,2045.9927448643646,3277.5191556490386,0.1017803485576923,-281.07718,106.58325,-20.111856,12.281774,7.6906195,-4.706603,-9.08144,-7.965421,-10.98715,1.8824438,-5.9641547,7.5931735,-4.109116,-2.9263864,-15.360416,-4.2045903,-6.654699,0.633586,-1.3372144,17.661121
cel\061__[cel][nod][cla]0032__2.wav,cel,3.0,0.014402256,1579.609832932908,1832.5636587259678,2814.472468449519,0.08336838942307692,-362.37582,121.89336,-25.070686,15.990426,2.7978745,-6.8469763,-6.161778,-1.2696202,-1.0439559,5.7816386,-5.552915,5.932926,-7.015993,2.149646,7.761515,19.90928,8.273293,5.400462,-0.72827536,6.6451716
cel\061__[cel][nod][cla]0032__3.wav,cel,3.0,0.02306442,1589.1884149668242,1892.5964780552074,2934.230205829327,0.08087064302884615,-308.27554,123.81271,-16.576162,21.851141,5.2024207,-4.449734,-7.943622,-3.176078,-5.95232,9.623544,-1.3701525,8.245359,-1.2973841,3.9894326,-5.630747,0.95751077,-10.094766,-4.1264553,-8.657281,-6.3436866
cel\065__[cel][nod][cla]0059__1.wav,cel,3.0,0.04029482,1454.2394842273573,1762.7498115453918,2801.055626502404,0.0653545673076923,-257.06693,137.15132,-17.716465,27.107212,-0.9702473,-4.8278337,-7.2027965,-2.0225883,-1.8251868,7.832517,-3.3259451,-0.010248037,-10.572535,-1.7670405,-11.254697,-1.0196993,-2.5533135,7.294271,4.3162575,5.3558927
cel\065__[cel][nod][cla]0059__2.wav,cel,3.0,0.03595464,1534.2522497658192,1824.5318144742587,3001.065955528846,0.07136793870192308,-255.10187,132.45702,-17.501497,28.662529,-1.1499368,-1.8017507,-5.5160446,-0.6235205,-2.054685,5.3987317,-5.620037,-0.94314057,-9.173407,4.031684,-2.4652336,6.946983,2.6584952,7.611007,0.30249652,2.7154682
cel\065__[cel][nod][cla]0059__3.wav,cel,3.0,0.07793993,1847.2847048511092,2092.0780261687623,3631.243426983173,0.07948091947115385,-205.36122,102.48156,-13.770191,26.620974,2.5229483,-2.8848531,-11.244608,3.5425937,3.1024,20.659416,8.094551,12.052674,-13.697018,-12.860903,-15.080968,1.6198604,-2.3914213,3.3601778,7.0183873,17.276772
cel\071__[cel][nod][cla]0053__1.wav,cel,3.0,0.004956761,1753.5249154391713,2191.0936716808787,3465.2721228966348,0.07768179086538461,-512.209,105.920525,6.71368,20.272987,12.331543,3.6662364,-14.0772505,-1.065158,0.38298035,7.5585494,11.005856,23.236328,5.4998155,-6.688962,-13.146081,-1.9402497,1.9198922,0.9085966,-13.058172,4.693797
cel\071__[cel][nod][cla]0053__2.wav,cel,3.0,0.019358106,1090.0233235988037,1521.7816878680637,2029.0902944711538,0.04020057091346154,-395.6346,150.72551,-12.960918,21.856182,6.727758,-2.939362,-11.333847,3.2166696,-0.37518957,-7.1379604,-9.472172,-5.063877,-8.688257,-9.725077,-8.956388,-5.677804,-6.928312,-5.517957,-3.8277278,-5.587961
cel\071__[cel][nod][cla]0053__3.wav,cel,3.0,0.034346312,928.2640067537582,1322.1815185349421,1718.7637094350962,0.037098106971153844,-331.45755,169.64891,-16.199352,28.93936,6.9702883,-1.2781842,-18.600245,0.34082133,0.40176114,-3.5074384,-11.5464,-7.841183,-11.895799,-9.327886,-10.504916,-4.5249586,-1.5885066,-0.8425145,-4.0923867,-0.8525224
cel\074__[cel][nod][cla]0037__1.wav,cel,3.0,0.018949918,1074.9310504850832,1346.8298601653757,1995.8794696514424,0.05219350961538462,-381.5623,162.67516,-30.10329,24.78516,-0.7088405,-8.026512,-9.555279,-8.928966,-7.0751133,-7.692622,-9.893026,-6.96946,-13.805604,-5.629235,-5.1783504,-2.4261649,-5.4344444,-2.9527802,-3.2734165,-6.3579726
cel\074__[cel][nod][cla]0037__2.wav,cel,3.0,0.021214295,1659.823995755387,1782.9520165473584,2935.1412259615386,0.0998272235576923,-310.83023,127.72817,-30.954338,10.866736,-3.4758859,-4.781801,-9.738932,-4.623184,-10.756987,-5.035607,-5.345708,10.266857,-1.2748364,3.5634022,-11.051994,-10.022584,-7.18261,6.2684264,-4.1358943,-10.063273
cel\074__[cel][nod][cla]0037__3.wav,cel,3.0,0.023417367,1222.8076326339578,1605.2783922478936,2324.592097355769,0.05967172475961539,-333.33856,151.84607,-10.179155,29.23597,10.327437,0.6695431,-3.6571789,-1.4696783,-2.826836,0.8388133,-2.1090467,5.506738,-8.203134,-7.1552744,-4.9153748,-1.9560586,2.3991647,4.1396046,-8.941566,-2.9579403
cel\075__[cel][nod][cla]0021__1.wav,cel,3.0,0.010323218,1400.2172146924356,1711.402208217515,2665.727726862981,0.06228215144230769,-421.88727,120.98921,-26.133114,23.980127,-1.3365216,-5.684427,-8.443688,-7.039573,-9.615641,-13.23626,-17.680296,-12.233206,-9.890884,-3.2354572,-8.385743,-3.3009076,-8.725766,-3.5214343,-8.408032,-5.920578
cel\075__[cel][nod][cla]0021__2.wav,cel,3.0,0.013942647,1208.5521325079253,1545.549228087613,2253.2012469951924,0.053733473557692306,-391.5112,144.47972,-27.325132,22.957222,-0.17069268,-8.638055,-6.2553906,-7.1302032,-8.950264,-13.586777,-22.167162,-11.125442,-9.799835,-4.291116,-9.380558,-5.2978806,-10.317029,-7.485918,-9.182829,-3.90889
cel\075__[cel][nod][cla]0021__3.wav,cel,3.0,0.010650748,1698.0221775356,1755.0686780385042,3069.7237454927886,0.10314753605769231,-408.35275,113.833595,-32.48953,12.015309,-8.11515,-13.921458,-13.692483,-15.595961,-18.303064,-8.063254,-19.86312,-4.0532746,0.73097277,10.965114,2.9766343,4.6231537,0.9419478,-2.240559,-8.543095,-8.640791
cel\078__[cel][nod][cla]0052__1.wav,cel,3.0,0.030998211,858.9647620068392,1263.9486800805166,1531.0107421875,0.03646709735576923,-359.26093,172.70114,-16.181112,21.576792,10.709585,-0.7180704,-20.432617,2.4045782,5.3597765,-3.238584,-8.154107,-3.4425704,-12.458366,-14.643357,-14.846971,-5.5364532,-3.099392,-1.0662274,-3.0952444,-3.0158954
cel\078__[cel][nod][cla]0052__2.wav,cel,3.0,0.03719666,717.0992898493877,1172.7658596731042,1283.2960862379807,0.024188701923076924,-367.8031,181.65685,-14.470789,21.486864,21.618467,5.635199,-13.33952,8.07095,4.1572313,-5.947932,-6.7942038,0.18185636,-11.194491,-12.203559,-14.881826,-8.182866,-5.2129536,-1.9903206,-5.074935,-3.2916632
cel\078__[cel][nod][cla]0052__3.wav,cel,3.0,0.010294863,860.2616263406558,1528.4216426586129,1452.1660907451924,0.025555889423076922,-471.06244,168.3978,5.936091,9.194975,21.219383,7.467383,-9.364327,8.865362,10.333588,4.561349,-4.226198,3.2465398,-3.484378,-4.4473844,-11.017514,-3.5610216,-0.9142563,4.7769437,-4.6547203,-3.182774
cel\082__[cel][nod][cla]0035__1.wav,cel,3.0,0.037883397,2021.1340754221226,2113.955434098847,3683.0887545072114,0.09738957331730769,-261.07938,88.66777,-32.311268,3.919021,-9.090231,-18.956205,-16.289715,-9.522288,-5.5449896,3.2740464,-9.030217,-0.20369802,-3.3276832,15.984476,6.076568,12.587103,-6.102821,5.38556,8.768323,3.667773
cel\082__[cel][nod][cla]0035__2.wav,cel,3.0,0.025749011,954.1792834217689,1592.8581302166845,1622.4440354567307,0.03276742788461538,-373.24332,161.64656,3.166378,14.62687,21.422085,-1.9991934,-4.877963,4.9353237,-0.7175221,-6.674833,-11.644437,-6.6575394,-13.822008,-7.795811,-6.462054,-1.723303,-6.617728,-0.701937,-3.0993326,-2.073363
